word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
120,acetic,0,0,0,0,0,0,0,0,0,0
121,ache,0,0,0,0,0,1,0,1,0,0
122,achieve,0,0,0,0,1,0,1,0,0,1
123,achievement,0,1,0,0,1,0,1,0,0,1
124,aching,0,0,0,0,0,1,0,1,0,0
125,acid,0,0,0,0,0,1,0,0,0,0
126,acidity,0,0,0,0,0,0,0,0,0,0
127,acknowledge,0,0,0,0,0,0,0,0,0,0
128,acknowledged,0,0,0,0,0,0,0,0,0,0
129,acknowledgment,0,0,0,0,0,0,1,0,0,0
130,acme,0,0,0,0,0,0,0,0,0,0
131,acoustic,0,0,0,0,0,0,0,0,0,0
132,acoustics,0,0,0,0,0,0,0,0,0,0
133,acquaint,0,0,0,0,0,0,0,0,0,0
134,acquaintance,0,0,0,0,0,0,0,0,0,0
135,acquainted,0,0,0,0,0,0,0,0,0,0
136,acquiescence,0,0,0,0,0,0,0,0,0,0
137,acquire,0,0,0,0,0,0,1,0,0,0
138,acquiring,0,1,0,0,0,0,1,0,0,0
139,acquisition,0,0,0,0,0,0,0,0,0,0
140,acquisitions,0,0,0,0,0,0,0,0,0,0
141,acreage,0,0,0,0,0,0,0,0,0,0
142,acres,0,0,0,0,0,0,0,0,0,0
143,acrobat,0,0,0,1,1,0,1,0,0,1
144,act,0,0,0,0,0,0,0,0,0,0
145,acting,0,0,0,0,0,0,0,0,0,0
146,action,0,0,0,0,0,0,1,0,0,0
147,actionable,1,0,1,0,0,1,0,0,0,0
148,active,0,0,0,0,0,0,0,0,0,0
149,activity,0,0,0,0,0,0,0,0,0,0
150,actor,0,0,0,0,0,0,0,0,0,0
151,actual,0,0,0,0,0,0,1,0,0,0
152,actuality,0,0,0,0,0,0,0,0,0,0
153,actuary,0,0,0,0,0,0,0,0,0,0
154,acuity,0,0,0,0,0,0,1,0,0,0
155,acumen,0,0,0,0,0,0,1,0,0,0
156,acupuncture,0,0,0,0,0,0,0,0,0,0
157,acutely,0,0,0,0,0,0,0,0,0,0
158,adage,0,0,0,0,0,0,0,0,0,0
159,adamant,0,0,0,0,0,0,0,0,0,0
160,adapt,0,0,0,0,0,0,1,0,0,0
161,adaptable,0,0,0,0,0,0,1,0,0,0
162,add,0,0,0,0,0,0,0,0,0,0
163,added,0,0,0,0,0,0,0,0,0,0
164,addendum,0,0,0,0,0,0,0,0,0,0
165,adder,1,0,1,1,0,1,0,1,0,0
166,addiction,0,0,0,0,0,1,0,0,0,0
167,addition,0,0,0,0,0,0,0,0,0,0
168,additional,0,0,0,0,0,0,0,0,0,0
169,additive,0,0,0,0,0,0,0,0,0,0
170,address,0,0,0,0,0,0,0,0,0,0
171,addressee,0,0,0,0,0,0,0,0,0,0
172,addresses,0,1,0,0,0,0,1,0,0,0
173,adept,0,0,0,0,0,0,1,0,0,0
174,adequacy,0,0,0,0,0,0,1,0,0,0
175,adequate,0,0,0,0,0,0,0,0,0,0
176,adhere,0,0,0,0,0,0,0,0,0,0
177,adherence,0,0,0,0,0,0,0,0,0,0
178,adherent,0,0,0,0,0,0,0,0,0,0
179,adhering,0,0,0,0,0,0,0,0,0,1
180,adhesion,0,0,0,0,0,0,0,0,0,0
181,adhesive,0,0,0,0,0,0,0,0,0,0
182,adieu,0,0,0,0,0,0,0,0,0,0
